"","FIPS","name","state","popChange","GQ_ESTIMATES_2019","birthRate","deathRate","increaseRate","intMigrationRate","domMigrationRate","netMigrationRate","proTrump","region","govParty","metro_area","main_econ","lon","lat","per_capita_income","percent_below_poverty","percent_minorities","percentile_rank_social_vulnerability","percent_uninsured","total_population","area_sqmi","percent_smokers","percent_fair_or_poor_health","case_count","death_count","covid_death_rate","covid_death_rate_log"
"1",1001,"Autauga","AL",336,455,11.2,9.7,1.5,-0.3,4.8,4.6,0.727665879,"South","Republican","metro","nonspecialized",-86.6427478088138,32.5349279554825,26168,12.3,24.3,0.3773,8.7216859511,55049,594.44611990953,18.08155718,20.882987328,201253,3441,0.0170978817707065,-4.06880069620452
"2",1003,"Baldwin","AL",5379,2170,10.4,10.5,-0.1,0.4,24,24.4,0.765457123,"South","Republican","metro","recreation",-87.7225752373643,30.7274889936377,28069,13,16.8,0.2757,11.333404467,199510,1589.80742490394,17.489032597,17.50913436,588041,5847,0.00994318423375241,-4.61086796416537
"3",1005,"Barbour","AL",-186,2812,10.3,12.6,-2.3,0.5,-5.7,-5.2,0.520966663,"South","Republican","adjacent","manufacturing",-85.3932129145765,31.8695888091185,17249,26.4,54.1,0.9847,12.242792457,26614,884.87577598536,21.999984528,29.591801708,106723,873,0.00818005490850145,-4.80605641585927
"4",1007,"Bibb","AL",27,2148,10.7,11.3,-0.5,0.4,1.4,1.8,0.764032203,"South","Republican","metro","nonspecialized",-87.1264801385788,32.9986341529285,18988,16.5,25.2,0.5737,10.206252586,22572,622.582354893018,19.114199885,19.439724157,76037,1035,0.0136117942580586,-4.29681863720509
"5",1009,"Blount","AL",55,489,11.3,11.4,-0.1,0.1,1,1.1,0.893348445,"South","Republican","metro","nonspecialized",-86.5673834130292,33.98087819855,21033,16.5,12.3,0.4986,13.360759494,57704,644.80650802125,19.20867197,21.745292814,164754,1435,0.00870995544872962,-4.74328860308722
"6",1011,"Bullock","AL",-73,1663,10.8,10.8,0,-0.1,-7.1,-7.2,0.242038217,"South","Republican","adjacent","manufacturing",-85.7156862699383,32.1005343779333,17909,26.9,78.3,0.9363,11.440376122,10552,622.805358527872,22.894664011,30.999101851,80000,2095,0.0261875,-3.64247308129978
"7",1013,"Butler","AL",-183,333,10.9,13.9,-3,0.9,-7.2,-6.3,0.561268896,"South","Republican","adjacent","nonspecialized",-86.6803028820603,31.7524178062516,19011,25.7,47.2,0.9166,11.186009539,20280,776.828047127664,21.765334963,27.910673184,133484,5747,0.04305384915046,-3.14530364094483
"8",1015,"Calhoun","AL",-726,2833,11.1,13.4,-2.3,0.1,-4.2,-4,0.68663296,"South","Republican","metro","government",-85.8260345892421,33.771436514234,22231,19.6,27,0.816,11.929167524,115883,605.888794766738,20.612560375,23.107733221,350092,4358,0.0124481564845812,-4.386182740563
"9",1017,"Chambers","AL",-346,458,10.6,13.2,-2.6,0.2,-7.9,-7.7,0.564244604,"South","Republican","adjacent","nonspecialized",-85.3920334889517,32.9143528740884,21532,20.3,43.3,0.8408,11.938076809,34018,596.531111636342,19.392927053,23.995473603,163735,6897,0.0421229425596238,-3.16716273281696
"10",1019,"Cherokee","AL",182,290,8.5,13.1,-4.6,-0.1,11.7,11.6,0.83415634,"South","Republican","adjacent","nonspecialized",-85.6038003875482,34.1759260075593,22544,16.4,8.1,0.419,11.172649917,25897,553.719701025162,17.498673785,20.698470599,60053,1618,0.0269428671340316,-3.61403668700984
"11",1021,"Chilton","AL",265,393,12.4,11.4,1.1,0.8,4.2,4.9,0.821002776,"South","Republican","metro","nonspecialized",-86.7188037582823,32.8478699835387,22045,20.3,19.4,0.744,13.759705874,43817,692.853435111392,20.188979064,21.185462911,159381,2407,0.0151021765455104,-4.19291640346195
"12",1023,"Choctaw","AL",-244,129,10.5,13.8,-3.4,-0.2,-15.7,-15.8,0.56308283,"South","Republican","non-metro","manufacturing",-88.2631848997968,32.0197775016724,20773,21,43.8,0.8297,11.342078708,13287,913.499979417814,18.79324829,24.863531285,49541,1969,0.039744857794554,-3.22527480990901
"13",1025,"Clarke","AL",-296,280,11.2,13.6,-2.4,-0.2,-9.8,-10,0.547924181,"South","Republican","non-metro","manufacturing",-87.8308139065017,31.6766821203951,20543,24.6,46.8,0.8233,11.926366291,24847,1238.46437984827,20.579655316,25.23508481,124137,1786,0.0143873301271982,-4.2414073119753
"14",1027,"Clay","AL",-59,255,10.8,14.1,-3.3,-0.2,-0.9,-1.1,0.791817633,"South","Republican","non-metro","manufacturing",-85.8605830724965,33.2690305969931,21115,16.7,19.7,0.5922,13.883338091,13483,603.96100138041,19.620354153,23.795917414,55756,973,0.0174510366597317,-4.04835622466377
"15",1029,"Cleburne","AL",-100,178,12.5,12.6,-0.1,-0.7,-5.7,-6.5,0.874260579,"South","Republican","adjacent","nonspecialized",-85.518813831547,33.6745195883524,19791,19.6,7.2,0.6291,13.34452371,14991,560.104248947982,18.374465772,19.284407812,36450,606,0.0166255144032922,-4.09681675136749
"16",1031,"Coffee","AL",392,498,11.5,10.9,0.6,0.7,6.4,7.1,0.764433958,"South","Republican","adjacent","nonspecialized",-85.9881591675225,31.4026522757973,25325,16.4,28.6,0.5266,11.99236659,50991,678.985651661674,17.444757594,19.425826811,157593,889,0.00564111350123419,-5.17767380366193
"17",1033,"Colbert","AL",237,474,11.4,13,-1.6,1.3,4.6,6,0.672125226,"South","Republican","metro","nonspecialized",-87.8049337147506,34.7004766900769,23318,16.5,21.1,0.4333,9.683862525,54377,592.619664012428,18.658821061,20.914454347,191904,2803,0.0146062614640654,-4.22630497480345
"18",1035,"Conecuh","AL",-225,45,10.1,14.9,-4.8,0.1,-13.7,-13.6,0.519362187,"South","Republican","non-metro","nonspecialized",-86.9936783666157,31.429239748367,16004,32.5,49.3,0.8628,12.033455306,12697,850.156471785916,21.107512965,28.608747789,61915,1431,0.023112331422111,-3.76738897609275
"19",1037,"Coosa","AL",20,196,8.4,11.5,-3.1,1.2,3.9,5.2,0.64375476,"South","Republican","adjacent","manufacturing",-86.2476572937147,32.9362495116424,18080,15.3,35,0.772,13.026201416,10864,650.926090743856,20.399965623,24.919103283,20992,404,0.0192454268292683,-3.95048181378267
"20",1039,"Covington","AL",96,575,11.2,14.7,-3.5,-0.1,6.4,6.2,0.832308657,"South","Republican","adjacent","nonspecialized",-86.4512771459695,31.2484986581257,21738,19,16.5,0.695,12.103617686,37729,1030.45583624492,19.249451541,22.668806251,153211,3158,0.0206120970426405,-3.88187714046201
"21",1041,"Crenshaw","AL",-53,132,9.9,13,-3,0.2,-1,-0.8,0.72012127,"South","Republican","adjacent","manufacturing",-86.3135790093729,31.7315375353875,20455,18.2,29.1,0.7014,12.267525036,13896,608.839526791866,18.646929565,22.146936238,59229,2636,0.0445052254807611,-3.11214867016994
"22",1043,"Cullman","AL",350,1027,11.8,12.6,-0.7,0.4,4.5,5,0.871042695,"South","Republican","adjacent","nonspecialized",-86.8675825749094,34.1319499964658,21041,17.1,7.5,0.4909,12.658246768,81316,734.897489233182,17.901071221,21.786493693,218590,2018,0.00923189532915504,-4.68509090711049
"23",1045,"Dale","AL",29,941,13.2,11.1,2.1,0.4,-1.8,-1.4,0.736465945,"South","Republican","adjacent","manufacturing",-85.6110090405247,31.4318149499692,22834,20.5,29.8,0.7463,9.6988639182,49607,561.125964029544,20.057394929,23.433107031,151590,4214,0.0277986674582756,-3.58276719258993
"24",1047,"Dallas","AL",-1098,853,11.6,14.4,-2.8,0.1,-26.5,-26.4,0.30805662,"South","Republican","adjacent","manufacturing",-87.1064720778568,32.325976007532,17611,34.3,71.9,0.9586,10.372407688,41426,978.694136870338,24.088991007,29.826897822,220730,3228,0.0146242015131609,-4.22507748474542
"25",1049,"De Kalb","AL",106,782,11.1,11.5,-0.3,0.6,1.3,1.9,0.828815922,"South","Republican","adjacent","manufacturing",-85.8041138637093,34.4598061323521,18685,19.8,19,0.751,17.319033941,70937,777.09371735013,21.028270793,25.958981492,300034,2497,0.0083223901291187,-4.78880579027016
"26",1051,"Elmore","AL",198,4147,11.5,10.1,1.4,0.3,0.8,1.1,0.741653247,"South","Republican","metro","nonspecialized",-86.1491639423542,32.5966528384219,24771,14.3,26.3,0.5415,8.6557164469,80957,618.487733530468,17.45250185,18.633862824,310303,5924,0.0190910174893572,-3.95853734306521
"27",1053,"Escambia","AL",109,2472,11.5,13,-1.5,0,4.5,4.5,0.669248905,"South","Republican","adjacent","nonspecialized",-87.1615837041193,31.1261417372159,17420,25.2,39.4,0.8637,14.428344867,37875,945.080053506914,22.412584583,26.054891893,172274,2871,0.0166653122351603,-4.09442583141474
"28",1055,"Etowah","AL",-343,2085,11.5,14.5,-3,0.4,-0.6,-0.2,0.732564985,"South","Republican","metro","nonspecialized",-86.0347632602892,34.045265538097,21287,18.4,21.6,0.7335,12.46599573,103363,535.28392666665,20.147398601,21.483864058,380369,5538,0.0145595461249471,-4.22950840943663
"29",1057,"Fayette","AL",-143,291,10.6,13.7,-3.1,0.3,-5.9,-5.6,0.813674385,"South","Republican","adjacent","nonspecialized",-87.7388663868369,33.7212302642574,20201,17.3,14.8,0.7217,11.459956373,16783,627.68342872507,18.001593256,22.19934392,45241,945,0.0208881324462324,-3.86857410682447
"30",1059,"Franklin","AL",64,272,13.8,11.7,2.1,0.9,-0.9,0,0.786212625,"South","Republican","adjacent","manufacturing",-87.8437398551369,34.4416987415131,18193,22.3,21.9,0.9195,15.3034504,31573,633.816619612666,19.250583044,25.368021469,230371,3594,0.0156009219910492,-4.16042526448276
"31",1061,"Geneva","AL",-35,229,10.6,13.9,-3.3,-0.3,2.4,2.1,0.849974485,"South","Republican","metro","nonspecialized",-85.8390912462457,31.0950591970446,20189,22.8,15.9,0.8173,14.07272901,26765,574.40810371854,20.003603276,23.084669296,63949,463,0.00724014449014058,-4.92811411558192
"32",1063,"Greene","AL",-98,45,11.8,11.4,0.4,0,-12.4,-12.4,0.171721311,"South","Republican","adjacent","nonspecialized",-87.9522131020639,32.8531567358996,13679,37.9,82.9,0.9882,11.446345257,8587,647.104523804522,24.632818706,33.985155643,42985,1967,0.0457601488891474,-3.08434167821949
"33",1065,"Hale","AL",-98,221,12.9,12.3,0.6,-0.2,-7,-7.2,0.394651741,"South","Republican","metro","nonspecialized",-87.6291511506437,32.7626697338447,19296,25.9,60,0.9793,10.560162464,15159,643.942685491568,22.077291339,27.902570328,83811,3989,0.047595184403002,-3.04502369086675
"34",1067,"Henry","AL",32,199,9.7,12.4,-2.7,-0.1,4.6,4.5,0.697720515,"South","Republican","metro","nonspecialized",-85.2414182671998,31.5147100821191,22825,15.3,31.4,0.596,12.187736563,17187,561.75007590473,18.429845441,21.419262062,57364,709,0.0123596680845129,-4.39331668131698
